지하철역명,노선개수,Latitude,Longitude
﻿양천구청역,1,37.5123888716808,126.865722369229
﻿신정네거리역,1,37.5202231231721,126.852889567642
﻿잠원역,1,37.5128899169357,127.011419491429
﻿교대역,2,37.4927431676548,127.013867969161
﻿남부터미널역,1,37.4851996335293,127.01620028391
﻿매봉역,1,37.4869394661317,127.046711448388
﻿대치역,1,37.4944966528582,127.063203409529
﻿학여울역,1,37.49370832148055,127.07952812085006
﻿대청역,1,37.4968851977644,127.071166599707
﻿일원역,1,37.4839886684666,127.084129757128
﻿시청역,2,37.56534539636417,126.97719821079865
﻿을지로입구역,1,37.566035517712955,126.9821953112953
﻿상왕십리역,1,37.56443666620397,127.02927241035283
﻿한양대역,1,37.5557159860408,127.043639802768
﻿뚝섬역,1,37.547241554679,127.04738727881
﻿성수역,1,37.5445888153751,127.056066999327
﻿구의역,1,37.5371752725594,127.086180837795
﻿강변역,1,37.5351180385975,127.094741101863
﻿잠실나루역,1,37.5207124124456,127.103808749487
﻿잠실새내역,1,37.5116263587296,127.086314327913
﻿삼성역,1,37.508822740225305,127.06302321147605
﻿역삼역,1,37.5006744185994,127.03646946847
﻿서초역,1,37.4918499338918,127.007662120039
﻿방배역,1,37.4814561268152,126.997553345516
﻿낙성대역,1,37.4770932409965,126.963523905001
﻿서울대입구역,1,37.4824725161034,126.941686527151
﻿봉천역,1,37.4812845080678,126.952713197762
﻿신림역,1,37.484267135140364,126.9297453749671
﻿신대방역,1,37.48765046104574,126.91350747615147
﻿구로디지털단지역,1,37.4852605752505,126.901473080039
﻿남영역,1,37.540566672483216,126.97133096608212
﻿대방역,1,37.51335413975466,126.92649449142719
﻿영등포역,1,37.5156836953862,126.90787602747
﻿구로역,1,37.50334155631282,126.88230806229326
﻿도봉역,1,37.6792119046658,127.045534886672
﻿방학역,1,37.6674383662755,127.044321721307
﻿녹천역,1,37.644633445567656,127.05138201885734
﻿월계역,1,37.6017816437084,127.067398003775
﻿신이문역,1,37.6332775453974,127.058857087601
﻿외대앞역,1,37.596274142656114,127.06369251145765
﻿제기동역,1,37.57817349658033,127.03494949507864
﻿종로5가역,1,37.57097610838373,127.00153834521934
﻿종각역,1,37.570227990912244,126.98315081716676
﻿경찰병원역,1,37.4960049150853,127.124482397777
﻿둔촌오륜역,1,37.51940803726135,127.13865206962898
﻿청계산입구역,1,37.4483547387397,127.054720327179
﻿강일역,1,37.5574259795986,127.175680183486
